Time,"Conductivity, mS","Temperature, C"
14:28:11,0.749,25.9
0,0,0
0,0,0
14:28:13,0.749,25.9
0,0,0
0,0,0
14:28:15,0.75,25.9
0,0,0
0,0,0
14:28:17,0.75,25.9
0,0,0
0,0,0
14:28:19,0.75,25.9
0,0,0
0,0,0
14:28:21,0.75,25.9
0,0,0
0,0,0
14:28:23,0.75,25.9
0,0,0
0,0,0
14:28:25,0.751,25.9
0,0,0
0,0,0
14:28:27,0.751,25.9
0,0,0
0,0,0
14:28:29,0.752,25.9
0,0,0
0,0,0
14:28:31,0.752,25.9
0,0,0
0,0,0
14:28:33,0.752,25.9
0,0,0
0,0,0
14:28:35,0.753,25.9
0,0,0
0,0,0
14:28:37,0.753,25.9
0,0,0
0,0,0
14:28:39,0.753,25.9
0,0,0
0,0,0
14:28:41,0.753,25.9
0,0,0
0,0,0
14:28:43,0.754,25.9
0,0,0
0,0,0
14:28:45,0.754,25.9
0,0,0
0,0,0
14:28:47,0.755,25.9
0,0,0
0,0,0
14:28:49,0.755,25.9
0,0,0
0,0,0
14:28:51,0.755,25.9
0,0,0
0,0,0
14:28:53,0.756,25.9
0,0,0
0,0,0
14:28:55,0.756,25.9
0,0,0
0,0,0
14:28:57,0.756,25.8
0,0,0
0,0,0
14:28:59,0.757,25.8
0,0,0
0,0,0
14:29:01,0.757,25.8
0,0,0
0,0,0
14:29:03,0.758,25.8
0,0,0
0,0,0
14:29:05,0.759,25.8
0,0,0
0,0,0
14:29:07,0.759,25.8
0,0,0
0,0,0
14:29:09,0.759,25.8
0,0,0
0,0,0
14:29:11,0.76,25.8
0,0,0
0,0,0
14:29:13,0.76,25.8
0,0,0
0,0,0
14:29:15,0.76,25.8
0,0,0
0,0,0
14:29:17,0.76,25.8
0,0,0
0,0,0
14:29:19,0.76,25.8
0,0,0
0,0,0
14:29:21,0.761,25.8
0,0,0
0,0,0
14:29:23,0.761,25.8
0,0,0
0,0,0
14:29:25,0.761,25.8
0,0,0
0,0,0
14:29:27,0.762,25.8
0,0,0
0,0,0
14:29:29,0.762,25.8
0,0,0
0,0,0
14:29:31,0.763,25.8
0,0,0
0,0,0
14:29:33,0.763,25.8
0,0,0
0,0,0
14:29:35,0.763,25.8
0,0,0
0,0,0
14:29:37,0.763,25.8
0,0,0
0,0,0
14:29:39,0.763,25.8
0,0,0
0,0,0
14:29:41,0.763,25.8
0,0,0
0,0,0
14:29:43,0.764,25.8
0,0,0
0,0,0
14:29:45,0.764,25.8
0,0,0
0,0,0
14:29:47,0.764,25.8
0,0,0
0,0,0
14:29:49,0.764,25.8
0,0,0
0,0,0
14:29:51,0.765,25.8
0,0,0
0,0,0
14:29:53,0.765,25.8
0,0,0
0,0,0
14:29:55,0.765,25.8
0,0,0
0,0,0
14:29:57,0.766,25.8
0,0,0
0,0,0
14:29:59,0.766,25.8
0,0,0
0,0,0
14:30:01,0.766,25.8
0,0,0
0,0,0
14:30:03,0.766,25.8
0,0,0
0,0,0
14:30:05,0.767,25.8
0,0,0
0,0,0
14:30:07,0.767,25.8
0,0,0
0,0,0
14:30:09,0.767,25.8
0,0,0
0,0,0
14:30:11,0.767,25.8
0,0,0
0,0,0
14:30:13,0.767,25.8
0,0,0
0,0,0
14:30:15,0.768,25.8
0,0,0
0,0,0
14:30:17,0.768,25.8
0,0,0
0,0,0
14:30:19,0.768,25.8
0,0,0
0,0,0
14:30:21,0.768,25.8
0,0,0
0,0,0
14:30:23,0.769,25.8
0,0,0
0,0,0
14:30:25,0.77,25.8
0,0,0
0,0,0
14:30:27,0.77,25.8
0,0,0
0,0,0
14:30:29,0.771,25.8
0,0,0
0,0,0
14:30:31,0.771,25.8
0,0,0
0,0,0
14:30:33,0.771,25.8
0,0,0
0,0,0
14:30:35,0.771,25.8
0,0,0
0,0,0
14:30:37,0.771,25.8
0,0,0
0,0,0
14:30:39,0.771,25.8
0,0,0
0,0,0
14:30:41,0.77,25.8
0,0,0
0,0,0
14:30:43,0.771,25.8
0,0,0
0,0,0
14:30:45,0.772,25.8
0,0,0
0,0,0
14:30:47,0.772,25.8
0,0,0
0,0,0
14:30:49,0.772,25.8
0,0,0
0,0,0
14:30:51,0.772,25.8
0,0,0
0,0,0
14:30:53,0.772,25.7
0,0,0
0,0,0
14:30:55,0.773,25.7
0,0,0
0,0,0
14:30:57,0.774,25.7
0,0,0
0,0,0
14:30:59,0.774,25.7
0,0,0
0,0,0
14:31:01,0.774,25.7
0,0,0
0,0,0
14:31:03,0.774,25.7
0,0,0
0,0,0
14:31:05,0.775,25.7
0,0,0
0,0,0
14:31:07,0.775,25.7
0,0,0
0,0,0
14:31:09,0.776,25.7
0,0,0
0,0,0
14:31:11,0.776,25.7
0,0,0
0,0,0
14:31:13,0.776,25.7
