Time,Conductivity (mS),Temperature (C)
11:19:02,0.897,20.6
0,0,0
0,0,0
11:19:04,0.897,20.6
0,0,0
0,0,0
11:19:06,0.897,20.6
0,0,0
0,0,0
11:19:08,0.897,20.6
0,0,0
0,0,0
11:19:10,0.897,20.6
0,0,0
0,0,0
11:19:12,0.896,20.6
0,0,0
0,0,0
11:19:14,0.896,20.6
0,0,0
0,0,0
11:19:16,0.896,20.6
0,0,0
0,0,0
11:19:18,0.896,20.6
0,0,0
0,0,0
11:19:20,0.896,20.6
0,0,0
0,0,0
11:19:22,0.896,20.6
0,0,0
0,0,0
11:19:24,0.896,20.6
0,0,0
0,0,0
11:19:26,0.896,20.6
0,0,0
0,0,0
11:19:28,0.896,20.6
0,0,0
0,0,0
11:19:30,0.896,20.6
0,0,0
0,0,0
11:19:32,0.896,20.6
0,0,0
0,0,0
11:19:34,0.897,20.6
0,0,0
0,0,0
11:19:36,0.897,20.6
0,0,0
0,0,0
11:19:38,0.897,20.6
0,0,0
0,0,0
11:19:40,0.897,20.6
0,0,0
0,0,0
11:19:42,0.896,20.6
0,0,0
0,0,0
11:19:44,0.896,20.6
0,0,0
0,0,0
11:19:46,0.896,20.6
0,0,0
0,0,0
11:19:48,0.896,20.6
0,0,0
0,0,0
11:19:50,0.897,20.6
0,0,0
0,0,0
11:19:52,0.897,20.6
0,0,0
0,0,0
11:19:54,0.896,20.6
0,0,0
0,0,0
11:19:56,0.896,20.6
0,0,0
0,0,0
11:19:58,0.896,20.6
0,0,0
0,0,0
11:20:00,0.896,20.6
0,0,0
0,0,0
11:20:02,0.896,20.6
0,0,0
0,0,0
11:20:04,0.896,20.6
0,0,0
0,0,0
11:20:06,0.896,20.6
0,0,0
0,0,0
11:20:08,0.896,20.6
0,0,0
0,0,0
11:20:10,0.896,20.6
0,0,0
0,0,0
11:20:12,0.896,20.6
0,0,0
0,0,0
11:20:14,0.896,20.6
0,0,0
0,0,0
11:20:16,0.896,20.6
0,0,0
0,0,0
11:20:18,0.896,20.6
0,0,0
0,0,0
11:20:20,0.896,20.6
0,0,0
0,0,0
11:20:22,0.896,20.6
0,0,0
0,0,0
11:20:24,0.896,20.6
0,0,0
0,0,0
11:20:26,0.896,20.6
0,0,0
0,0,0
11:20:28,0.896,20.6
0,0,0
0,0,0
11:20:30,0.896,20.6
