Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
10:58:58,924.8,956.61,23.25,952.6,975.77,23.75
10:58:59,922.6,954.33,23.25,951.9,979.83,23.5
10:59:00,924.1,955.88,23.25,952.1,975.26,23.75
10:59:01,923.4,959.88,23,952.3,985.05,23.25
10:59:02,924.6,961.12,23,952.3,980.24,23.5
10:59:03,924.7,951.83,23.5,952.4,975.57,23.75
10:59:04,924.7,961.23,23,952.1,975.26,23.75
10:59:05,924.6,965.89,22.75,952.5,975.67,23.75
10:59:06,924.1,951.21,23.5,952.5,985.26,23.25
10:59:07,924.7,961.23,23,953.4,986.19,23.25
10:59:08,923.4,950.49,23.5,952.3,975.47,23.75
10:59:09,925.4,952.55,23.5,952.9,980.85,23.5
10:59:10,924.8,951.93,23.5,952.4,975.57,23.75
10:59:11,927.4,968.82,22.75,952.7,985.47,23.25
10:59:12,926,953.17,23.5,951.8,979.72,23.5
10:59:13,926.7,953.89,23.5,952.5,980.44,23.5
10:59:14,926.7,958.57,23.25,953.1,981.06,23.5
10:59:15,924.9,961.43,23,953.4,976.59,23.75
10:59:16,924.2,955.99,23.25,953,980.96,23.5
10:59:17,926.2,958.06,23.25,952.6,985.36,23.25
10:59:18,927.4,954.61,23.5,952.4,980.34,23.5
10:59:19,926.9,968.29,22.75,952.6,990.23,23
10:59:20,925.3,957.12,23.25,953.5,976.7,23.75
10:59:21,927.1,958.99,23.25,953.5,986.29,23.25
10:59:22,926.3,953.47,23.5,952.7,980.65,23.5
10:59:23,926.9,954.09,23.5,953.7,976.9,23.75
10:59:24,925.6,962.16,23,953,985.78,23.25
10:59:25,926.1,962.68,23,952.7,980.65,23.5
10:59:26,927.6,954.81,23.5,951.8,984.54,23.25
10:59:27,923,959.46,23,953.6,986.4,23.25
10:59:28,925.7,962.27,23,954,981.99,23.5
10:59:29,926.4,953.58,23.5,953.5,981.47,23.5
10:59:29,926.2,958.06,23.25,953.3,986.09,23.25
10:59:30,928.4,969.86,22.75,954.1,982.09,23.5
10:59:31,925.7,952.86,23.5,953.1,981.06,23.5
10:59:32,927.6,954.81,23.5,952.9,976.08,23.75
10:59:33,927.1,954.3,23.5,954,986.81,23.25
10:59:34,924.8,956.61,23.25,953,976.18,23.75
10:59:35,926.7,953.89,23.5,954.2,972.68,24
10:59:36,926.5,958.37,23.25,953.2,981.16,23.5
10:59:37,926.4,958.26,23.25,953.2,976.39,23.75
10:59:38,927.7,954.92,23.5,954.9,982.91,23.5
10:59:39,927.1,954.3,23.5,954.3,977.52,23.75
10:59:40,928.5,960.43,23.25,953.7,972.17,24
10:59:41,928.4,960.33,23.25,953.6,981.57,23.5
10:59:42,928.6,955.84,23.5,954.6,977.82,23.75
10:59:43,927.2,954.4,23.5,954.9,982.91,23.5
